,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
144,Harry Potter and the Deathly Hallows - Ravenclaw Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618303,9781526618306,640,,,,,,2021
145,Harry Potter and the Deathly Hallows - Gryffindor Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618346,9781526618344,640,,,,,,2021
146,Harry Potter and the Deathly Hallows - Hufflepuff Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,0747593760,9780747593768,640,,,,,,2021
150,A Study Guide for J.K. Rowling's Harry Potter and the Deathly Hallows,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-03-13,,,15,,,US,3.99,USD,2015
151,The Alchemist,['Paulo Coelho'],Harper,2009-11-01,0061881910,9780061881916,208,3,4445,,,,2009
152,The Alchemist,['Paulo Coelho'],HarperOne,2014-09-09,0062390627,9780062390622,208,3.5,436,,,,2014
153,The Alchemist,['Paulo Coelho'],HarperThorsons,2015-07-02,0008144222,9780008144227,224,3,4447,,,,2015
154,The Illustrated Alchemist,"['Paulo Coelho', 'Alan R. Clarke', 'Moebius']",Harper Collins,1998-11-01,006019250X,9780060192501,198,,,,,,1998
155,The Alchemist 25th Anniversary,['Paulo Coelho'],Harper,2014-04-15,0062355309,9780062355300,208,,,,,,2014
156,The Alchemist: A Graphic Novel,['Paulo Coelho'],Harper Collins,2010-11-23,0062024329,9780062024329,208,3.5,9,,,,2010
157,Summary of The Alchemist by Paulo Coelho,['Abbey Beathan'],Abbey Beathan Publishing,2019-06-10,1690407115,9781690407119,64,,,,,,2019
158,Extended Summary Of The Alchemist - By Paulo Coelho,['Sapiens Editorial'],Sapiens Editorial,2019-06-03,3966619865,9783966619868,26,,,US,3.99,USD,2019
159,The Alchemist,['Instaread'],Instaread Summaries,2016-03-21,1945048476,9781945048470,36,,,US,4.99,USD,2016
161,The Catcher in the Rye,['Jerome David Salinger'],Bantam,1951,0553250256,9780553250251,214,4,203,,,,1951
162,The Catcher in the Rye,['J. D. Salinger'],Penguin Books Limited,2010,0241950430,9780241950432,192,3.5,470,,,,2010
163,The Catcher in the Rye - J. D. Salinger,['Harold Bloom'],Infobase Publishing,2009-01-01,1438113730,9781438113739,,5,3,,,,2009
164,J. D. Salinger's the Catcher in the Rye,['Harold Bloom'],Infobase Publishing,2009-01-01,1438119259,9781438119250,225,4,2,,,,2009
165,Catcher in the Rye,['J.D. Salinger'],Barrons Educational Series,1984-10-01,0812034074,9780812034073,120,,,,,,1984
166,J.D. Salinger's The Catcher in the Rye,['Sarah Graham'],Routledge,2007-06-11,1134286554,9781134286553,144,,,,,,2007
167,Salinger's The Catcher in the Rye,['Sarah Graham'],A&C Black,2007-10-25,1441143106,9781441143105,128,,,US,22.45,USD,2007
168,"Holden's conflicts in J.D. Salinger's ""Catcher in the Rye""",['Dirk Lepping'],GRIN Verlag,2003-07-27,3638209601,9783638209601,7,,,US,3.34,USD,2003
171,The Bridges of Madison County,['Robert James Waller'],Grand Central Publishing,2014-01-28,1455554286,9781455554287,208,4.5,4,,,,2014
172,The Bridges of Madison County,['Robert James Waller'],Grand Central Publishing,2001-03-15,0759521727,9780759521728,192,4.5,10,US,7.99,USD,2001
176,Just Beyond the Firelight,['Robert James Waller'],Iowa State Press,1989,0813801672,9780813801674,184,,,,,,1989
178,The Summer Nights Never End. Until They Do,['Robert James Waller'],Traders Press,2012-01-15,,,223,,,,,,2012
183,Ben-Hur,['Lew Wallace'],Createspace Independent Publishing Platform,2016-04-16,1853262838,9781853262838,328,,,,,,2016
184,Ben Hur,['Lew Wallace'],Standard Ebooks,2021-03-19T20:57:47Z,1782642250,9781782642251,,,,,,,2021
185,Ben Hur,['Lew Wallace'],Wordsworth Editions,1996,8026868501,9788026868507,382,,,US,,,1996
186,Ben-Hur,['Carol Wallace'],Lion Fiction,2016-07-15,8075830067,9788075830067,464,,,,14.99,USD,2016
187,Ben-Hur (Illustrated),['Lew Wallace'],e-artnow,2016-09-05,,,575,,,,0.99,USD,2016
189,"Historical Novels of Lew Wallace: Ben-Hur, The Prince of India & The Fair God (Illustrated)",['Lew Wallace'],e-artnow,2017-04-20,,,1889,,,US,0.99,USD,2017
194,You Can Heal Your Life,['Louise L. Hay'],ReadHowYouWant.com,2009-12,1458748243,9781458748249,346,4.5,40,,,,2009
195,You Can Heal Your Life,['Louise Hay'],"Hay House, Inc",1995-03-07,1401922643,9781401922641,272,4,4,US,9.99,USD,1995
196,"You Can Heal Your Life, Companion Book",['Louise Hay'],"Hay House, Inc",2002-01-01,1401933521,9781401933524,,,,US,3.99,USD,2002
197,You Can Heal Your Heart,"['Louise L. Hay', 'David Kessler']",Hay House,2015-02-02,1401943888,9781401943882,216,4,4,,,,2015
198,You Can Heal Your Life Companion Book,['Louise L. Hay'],Hay House Incorporated,2002-01-01,156170878X,9781561708789,264,5,2,,,,2002
199,"You Can Heal Your Life, Gift Edition",['Louise Hay'],"Hay House, Inc",1999-09-01,1401919359,9781401919351,,3.5,13,US,9.99,USD,1999
200,Life Loves You,"['Louise Hay', 'Robert Holden']","Hay House, Inc",2015-05-05,1401946941,9781401946944,272,5,1,US,7.99,USD,2015
201,You Can Heal Your Life,['Louise L. Hay'],Hay House,2005-01-30,1401904211,9781401904210,,,,,,,2005
202,The Power Is Within You,['Louise Hay'],"Hay House, Inc",1995-03-07,1401928927,9781401928926,256,5,2,US,3.99,USD,1995
203,Life Loves You,"['Louise Hay', 'Robert Holden']",Hay House,2016-04-26,140194616X,9781401946166,272,,,,,,2016
204,One Hundred Years of Solitude,['Gabriel Garcia Marquez'],Harper Collins,2003-06-24,0060531045,9780060531041,432,3.5,227,,,,2003
206,One Hundred Years of Solitude,['Gabriel García Márquez'],"Penguin Books, Limited (UK)",2000,014118499X,9780141184999,422,,,,,,2000
207,Gabriel García Márquez's One Hundred Years of Solitude,['Harold Bloom'],Infobase Publishing,2006,0791085783,9780791085783,135,5,1,,,,2006
208,Gabriel García Márquez's One Hundred Years of Solitude,['Gene H. Bell-Villada'],Oxford University Press on Demand,2002-01-01,0195144554,9780195144550,176,5,1,,,,2002
209,Gabriel Garci ́a Ma ́rquez's One Hundred Years of Solitude,"['Gabriel Garcia Marquez', 'Harold Bloom']",Infobase Publishing,2009-01-01,1438125623,9781438125626,241,1,1,,,,2009
